Brand,Product Name,Selling Price (INR),Original Price (INR),Discount (%),Rating,Number of Ratings,Number of Reviews,Price Segment
Acer,Acer TravelLite AMD Ryzen 5 7430U - (16 GB/512 GB SSD/Windows 11 Home) TL04-41M Notebook,44990,50000.0,10.0,3.8,125.0,11.0,Mid-Range (₹30K-₹60K)
HP,HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,72990,81201.0,10.0,4.3,733.0,50.0,Premium (₹60K-₹1L)
ASUS,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,38990,50990.0,23.0,4.3,1532.0,77.0,Mid-Range (₹30K-₹60K)
Lenovo,Lenovo IdeaPad Slim 5 WUXGA OLED Full Metal Body Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windo...,59990,97290.0,38.0,4.4,85.0,11.0,Mid-Range (₹30K-₹60K)
Lenovo,Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 8840H Office 2024 and Backlit Keyboard AMD Ryzen 7 Octa Co...,70990,94890.0,25.0,4.4,78.0,7.0,Premium (₹60K-₹1L)
ASUS,ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1405CKA-NK...,14990,23990.0,37.0,3.8,229.0,15.0,Budget (< ₹30K)
ASUS,"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB...",37990,,,4.1,89.0,8.0,Mid-Range (₹30K-₹60K)
ASUS,"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, AMD Ryzen 5 Quad Core 752...",42990,52990.0,18.0,4.3,1532.0,77.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,39990,55990.0,28.0,4.1,1054.0,84.0,Mid-Range (₹30K-₹60K)
HP,HP 15 with Backlit Keyboard & Office 2024 AMD Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 H...,52990,60248.0,12.0,4.1,362.0,23.0,Mid-Range (₹30K-₹60K)
