Product Name,Selling Price,Original Price,Discount,Rating,Rating Count
Acer TravelLite AMD Ryzen 5 7430U - (16 GB/512 GB SSD/Windows 11 Home) TL04-41M Notebook,"₹44,990","₹50,000",10% off,3.8,125 Ratings & 11 Reviews
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹72,990","₹81,201",10% off,4.3,733 Ratings & 50 Reviews
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,"₹38,990","₹50,990",23% off,4.3,"1,532 Ratings & 77 Reviews"
Lenovo IdeaPad Slim 5 WUXGA OLED Full Metal Body Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windo...,"₹59,990","₹97,290",38% off,4.4,85 Ratings & 11 Reviews
Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 8840H Office 2024 and Backlit Keyboard AMD Ryzen 7 Octa Co...,"₹70,990","₹94,890",25% off,4.4,78 Ratings & 7 Reviews
ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1405CKA-NK...,"₹14,990","₹23,990",37% off,3.8,229 Ratings & 15 Reviews
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB...","₹37,990",N/A,N/A,4.1,89 Ratings & 8 Reviews
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, AMD Ryzen 5 Quad Core 752...","₹42,990","₹52,990",18% off,4.3,"1,532 Ratings & 77 Reviews"
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,"₹39,990","₹55,990",28% off,4.1,"1,054 Ratings & 84 Reviews"
HP 15 with Backlit Keyboard & Office 2024 AMD Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 H...,"₹52,990","₹60,248",12% off,4.1,362 Ratings & 23 Reviews
