Brand,Product Name,Selling Price (INR),Original Price (INR),Discount (%),Rating,Number of Ratings,Number of Reviews
Acer,Acer TravelLite AMD Ryzen 5 7430U - (16 GB/512 GB SSD/Windows 11 Home) TL04-41M Notebook,44990,50000,10,3.8,125,11
HP,HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,72990,81201,10,4.3,733,50
ASUS,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,38990,50990,23,4.3,1532,77
Lenovo,Lenovo IdeaPad Slim 5 WUXGA OLED Full Metal Body Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windo...,59990,97290,38,4.4,85,11
Lenovo,Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 8840H Office 2024 and Backlit Keyboard AMD Ryzen 7 Octa Co...,70990,94890,25,4.4,78,7
ASUS,ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1405CKA-NK...,14990,23990,37,3.8,229,15
ASUS,"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB...",37990,,,4.1,89,8
ASUS,"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, AMD Ryzen 5 Quad Core 752...",42990,52990,18,4.3,1532,77
Acer,Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,39990,55990,28,4.1,1054,84
HP,HP 15 with Backlit Keyboard & Office 2024 AMD Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 H...,52990,60248,12,4.1,362,23
ASUS,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 H...",46990,54990,14,4.3,2866,174
Acer,Acer Aspire Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) AL15-53 Notebook,38938,42990,9,4,72,8
HP,HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,72990,77507,5,4.3,958,63
ASUS,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Ho...",42753,50990,16,4.3,2866,174
ASUS,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5542WS ...,42990,55990,23,4.3,1532,77
Acer,Acer TravelLite AMD Ryzen 5 7430U - (8 GB/512 GB SSD/Windows 11 Home) TL04-41M Notebook,40990,52999,22,3.8,125,11
MSI,MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,58990,82990,28,4.3,104,3
Acer,Acer Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,38990,44999,13,4.3,3574,259
ASUS,"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB ...",38990,48990,20,4.5,39,5
HP,HP 15 (i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thi...,49123,49999,1,4.2,1326,73
